[aten::zeros] 总耗时: 1870.49 ms | 出现次数: 94 | 平均耗时: 19.90 ms
[aten::_local_scalar_dense] 总耗时: 1351.80 ms | 出现次数: 3003 | 平均耗时: 0.45 ms
[aten::alias] 总耗时: 1247.99 ms | 出现次数: 1001 | 平均耗时: 1.25 ms
[aten::_unsafe_view] 总耗时: 840.47 ms | 出现次数: 1000 | 平均耗时: 0.84 ms
[aten::lift_fresh] 总耗时: 636.51 ms | 出现次数: 2002 | 平均耗时: 0.32 ms
[aten::resolve_conj] 总耗时: 342.93 ms | 出现次数: 1001 | 平均耗时: 0.34 ms
[aten::resolve_neg] 总耗时: 211.37 ms | 出现次数: 1001 | 平均耗时: 0.21 ms

===== 分析文件: ds-7e2d1404-1-744dcfb874-xrz4p_1961069.1756354006921966649.pt.trace.json =====
[aten::copy_] 总耗时: 47094299.84 ms | 出现次数: 13286 | 平均耗时: 3544.66 ms
[aten::to] 总耗时: 46995311.75 ms | 出现次数: 7195 | 平均耗时: 6531.66 ms
[aten::_to_copy] 总耗时: 46987801.49 ms | 出现次数: 4192 | 平均耗时: 11208.92 ms
[aten::empty] 总耗时: 953092.44 ms | 出现次数: 289951 | 平均耗时: 3.29 ms
[aten::unbind] 总耗时: 628021.70 ms | 出现次数: 94094 | 平均耗时: 6.67 ms
[aten::sort] 总耗时: 603067.90 ms | 出现次数: 2002 | 平均耗时: 301.23 ms
[aten::empty_like] 总耗时: 536122.74 ms | 出现次数: 96378 | 平均耗时: 5.56 ms
[aten::linear] 总耗时: 517304.94 ms | 出现次数: 1001 | 平均耗时: 516.79 ms
[aten::mm] 总耗时: 512903.71 ms | 出现次数: 1095 | 平均耗时: 468.41 ms
[aten::matmul] 总耗时: 508072.15 ms | 出现次数: 1001 | 平均耗时: 507.56 ms
[aten::empty_strided] 总耗时: 458068.64 ms | 出现次数: 99570 | 平均耗时: 4.60 ms
[aten::expand] 总耗时: 456612.60 ms | 出现次数: 282282 | 平均耗时: 1.62 ms
[aten::select] 总耗时: 389689.58 ms | 出现次数: 190190 | 平均耗时: 2.05 ms
[aten::as_strided] 总耗时: 323295.40 ms | 出现次数: 699515 | 平均耗时: 0.46 ms
[aten::slice] 总耗时: 308934.96 ms | 出现次数: 217846 | 平均耗时: 1.42 ms
[aten::index] 总耗时: 75137.97 ms | 出现次数: 1095 | 平均耗时: 68.62 ms
[aten::fill_] 总耗时: 65024.79 ms | 出现次数: 5287 | 平均耗时: 12.30 ms
[aten::sub] 总耗时: 45035.51 ms | 出现次数: 2002 | 平均耗时: 22.50 ms
[aten::reshape] 总耗时: 44293.00 ms | 出现次数: 3097 | 平均耗时: 14.30 ms
[aten::scatter] 总耗时: 36561.81 ms | 出现次数: 1001 | 平均耗时: 36.53 ms
[aten::clone] 总耗时: 31259.49 ms | 出现次数: 1000 | 平均耗时: 31.26 ms
[aten::argmax] 总耗时: 29220.43 ms | 出现次数: 1001 | 平均耗时: 29.19 ms
[aten::softmax] 总耗时: 28341.82 ms | 出现次数: 2002 | 平均耗时: 14.16 ms
[aten::div_] 总耗时: 27345.50 ms | 出现次数: 2002 | 平均耗时: 13.66 ms
[aten::rsub] 总耗时: 24992.18 ms | 出现次数: 1001 | 平均耗时: 24.97 ms
[aten::_softmax] 总耗时: 22917.14 ms | 出现次数: 2002 | 平均耗时: 11.45 ms
[aten::exponential_] 总耗时: 18883.64 ms | 出现次数: 1001 | 平均耗时: 18.86 ms
[aten::le] 总耗时: 16828.26 ms | 出现次数: 1001 | 平均耗时: 16.81 ms
[aten::cumsum] 总耗时: 13576.36 ms | 出现次数: 1001 | 平均耗时: 13.56 ms
[aten::masked_fill_] 总耗时: 13258.89 ms | 出现次数: 1001 | 平均耗时: 13.25 ms
[aten::movedim] 总耗时: 11200.33 ms | 出现次数: 2002 | 平均耗时: 5.59 ms
[aten::unsqueeze] 总耗时: 8676.69 ms | 出现次数: 3003 | 平均耗时: 2.89 ms
[aten::max] 总耗时: 8044.89 ms | 出现次数: 1001 | 平均耗时: 8.04 ms
[aten::view] 总耗时: 7174.70 ms | 出现次数: 4569 | 平均耗时: 1.57 ms
[aten::flatten] 总耗时: 6013.10 ms | 出现次数: 1001 | 平均耗时: 6.01 ms
[aten::item] 总耗时: 5695.96 ms | 出现次数: 3003 | 平均耗时: 1.90 ms
[aten::t] 总耗时: 5556.82 ms | 出现次数: 1001 | 平均耗时: 5.55 ms
[aten::index_select] 总耗时: 3833.55 ms | 出现次数: 1001 | 平均耗时: 3.83 ms
[aten::div] 总耗时: 3540.78 ms | 出现次数: 94 | 平均耗时: 37.67 ms
[aten::sum] 总耗时: 3234.20 ms | 出现次数: 188 | 平均耗时: 17.20 ms
[aten::zero_] 总耗时: 3178.69 ms | 出现次数: 282 | 平均耗时: 11.27 ms
[aten::permute] 总耗时: 2884.89 ms | 出现次数: 1001 | 平均耗时: 2.88 ms
[aten::transpose] 总耗时: 2292.98 ms | 出现次数: 1001 | 平均耗时: 2.29 ms
[aten::zeros] 总耗时: 1940.92 ms | 出现次数: 94 | 平均耗时: 20.65 ms
[aten::_local_scalar_dense] 总耗时: 1399.17 ms | 出现次数: 3003 | 平均耗时: 0.47 ms
[aten::alias] 总耗时: 1233.76 ms | 出现次数: 1001 | 平均耗时: 1.23 ms
[aten::_unsafe_view] 总耗时: 831.98 ms | 出现次数: 1000 | 平均耗时: 0.83 ms
[aten::lift_fresh] 总耗时: 727.57 ms | 出现次数: 2002 | 平均耗时: 0.36 ms
[aten::resolve_conj] 总耗时: 327.81 ms | 出现次数: 1001 | 平均耗时: 0.33 ms
[aten::resolve_neg] 总耗时: 228.73 ms | 出现次数: 1001 | 平均耗时: 0.23 ms

===== 分析文件: ds-7e2d1404-1-744dcfb874-xrz4p_1961071.1756354035950220258.pt.trace.json =====
[aten::copy_] 总耗时: 46646803.93 ms | 出现次数: 13286 | 平均耗时: 3510.97 ms
[aten::to] 总耗时: 46547644.18 ms | 出现次数: 7195 | 平均耗时: 6469.44 ms
[aten::_to_copy] 总耗时: 46540517.84 ms | 出现次数: 4192 | 平均耗时: 11102.22 ms
